instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
QPLIB_3642.lp,max,1028.0,1028.0,tie,0,0,10.135765,10.250804
QPLIB_3650.lp,max,916.0,914.0,new win,0,0,10.176887,10.225427
QPLIB_3693.lp,max,1144.0,1144.0,tie,0,0,10.056462,10.179075
QPLIB_3703.lp,min,395228.0,395228.0,tie,0,0,10.094965,10.116019
QPLIB_3705.lp,max,382.0,382.0,tie,0,0,10.041563,10.050428
QPLIB_3706.lp,max,680.0,680.0,tie,0,0,10.126888,10.107925
QPLIB_3709.lp,min,9113892.0,9113892.0,tie,0,0,10.96137,10.784322
QPLIB_3714.lp,min,1183.0,1183.0,tie,0,0,10.158298,10.180179
QPLIB_3738.lp,max,420.0,420.0,tie,0,0,10.034724,10.128694
QPLIB_3745.lp,max,334.0,334.0,tie,0,0,10.042386,10.070145
QPLIB_3750.lp,min,6348.0,6348.0,tie,0,0,10.389319,10.386329
QPLIB_3751.lp,min,2312.0,2312.0,tie,0,0,10.090579,10.038244
QPLIB_3752.lp,min,-1217.0,-1217.0,tie,0,0,10.148806,10.116036
QPLIB_3757.lp,min,-511.0,-511.0,tie,0,0,10.148675,10.156687
QPLIB_3762.lp,min,-270.0,-270.0,tie,0,0,10.063517,10.059965
QPLIB_3772.lp,min,-938.0,-938.0,tie,0,0,10.106121,10.16506
QPLIB_3775.lp,min,3990.0,3990.0,tie,0,0,10.33168,10.327564
QPLIB_3780.lp,min,106.0,106.0,tie,0,0,10.047741,10.051273
QPLIB_3803.lp,min,-6982.0,-6982.0,tie,0,0,10.043646,10.116213
QPLIB_3815.lp,min,-65.0,-65.0,tie,0,0,10.035614,10.013122
QPLIB_3822.lp,max,846.0,846.0,tie,0,0,10.143427,10.189649
QPLIB_3832.lp,max,550.0,550.0,tie,0,0,10.117239,10.118079
QPLIB_3834.lp,min,3854.936186,3854.936186,tie,0,0,10.053366,10.033131
QPLIB_3838.lp,max,740.0,740.0,tie,0,0,10.126483,10.227938
QPLIB_3841.lp,min,-1817.0,-1817.0,tie,0,0,10.477043,10.142334
QPLIB_3850.lp,max,1188.0,1186.0,new win,0,0,10.101447,10.21347
QPLIB_3852.lp,max,234.0,234.0,tie,0,0,10.020642,10.017725
QPLIB_3860.lp,min,-20161.0,-20161.0,tie,0,0,10.675378,10.284737
QPLIB_3865.lp,min,6553485.0,6553485.0,tie,0,0,12.733372,12.466764
QPLIB_3877.lp,max,600.0,600.0,tie,0,0,10.098,10.110689
QPLIB_3883.lp,min,-765.0,-765.0,tie,0,0,10.049242,10.060293
QPLIB_3913.lp,min,44.6,44.6,tie,0,0,12.788832,12.549014
QPLIB_3923.lp,min,91.325,91.325,tie,0,0,10.180785,10.187626
QPLIB_3931.lp,min,113.3365,113.3365,tie,0,0,10.110312,10.053977
QPLIB_3980.lp,min,11.45,11.45,tie,0,0,10.887797,10.934913
QPLIB_5721.lp,max,7930221.0,7875631.0,new win,0,0,10.917643,13.414167
QPLIB_5725.lp,max,33065571.0,33062219.0,new win,0,0,10.119392,10.059717
QPLIB_5755.lp,max,23749203.0,23692136.0,new win,0,0,10.072856,10.104047
QPLIB_5875.lp,max,43757.0,43757.0,tie,0,0,10.184366,11.589967
QPLIB_5881.lp,max,13067.0,13067.0,tie,0,0,10.184549,10.320034
QPLIB_5882.lp,max,25388.0,25388.0,tie,0,0,11.030775,10.455077
QPLIB_5909.lp,max,35726.0,35726.0,tie,0,0,10.048874,10.086916
QPLIB_5922.lp,max,128339.0,128279.0,new win,0,0,11.125053,11.298006
