cutoff,instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
10,nvs15.lp,min,1.0,1.0,tie,0,0,10.009081,10.006298
10,nvs17.lp,min,-1100.4,-1100.4,tie,0,0,10.014232,10.022367
10,nvs18.lp,min,-778.4,-778.4,tie,0,0,10.023464,10.017747
10,nvs19.lp,min,-1098.4,-1098.4,tie,0,0,10.013222,10.008429
10,nvs23.lp,min,-1125.2,-1125.2,tie,0,0,10.014322,10.00877
10,nvs24.lp,min,-1033.2,-1033.2,tie,0,0,10.116798,10.127684
10,pb302035.lp,min,3818368.0,3818368.0,tie,0,0,17.33691,17.854952
10,pb302055.lp,min,3966094.0,3966094.0,tie,0,0,12.148858,12.733754
10,pb302075.lp,min,4191764.0,4191764.0,tie,0,0,19.023777,19.343928
10,pb351535.lp,min,5115148.0,5115148.0,tie,0,0,17.73918,17.212739
10,pb351555.lp,min,4888133.0,4888133.0,tie,0,0,14.203006,13.539269
10,pb351575.lp,min,6553485.0,6553485.0,tie,0,0,13.12697,13.252523
10,prob02.lp,min,144265.0,144265.0,tie,0,0,10.012675,10.017307
10,prob03.lp,min,10.0,10.0,tie,0,0,10.008474,10.00864
10,QPLIB_0067.lp,min,-94446.0,-94446.0,tie,0,0,10.213865,10.152031
10,QPLIB_0633.lp,min,82.048035,82.048035,tie,0,0,10.032187,10.183685
10,QPLIB_0752.lp,max,24071.0,24071.0,tie,0,0,10.023253,10.10358
10,QPLIB_10040.lp,min,0.0,0.0,tie,0,0,10.663899,10.134149
10,QPLIB_10041.lp,min,0.0,0.0,tie,0,0,10.384731,10.143373
10,QPLIB_10042.lp,min,-20.881926,-20.881926,tie,0,0,10.163063,10.212017
10,QPLIB_10043.lp,min,0.0,0.0,tie,0,0,10.380248,10.451328
10,QPLIB_10044.lp,min,-7.868867,-7.868867,tie,0,0,10.371054,10.376862
10,QPLIB_10045.lp,min,0.0,0.0,tie,0,0,10.592181,10.849155
10,QPLIB_10046.lp,min,-0.7127,-0.7127,tie,0,0,11.069962,10.057661
10,QPLIB_10047.lp,min,0.0,0.0,tie,0,0,10.740809,10.932923
10,QPLIB_10048.lp,min,-13.562674,-13.562674,tie,0,0,10.870198,10.985068
10,QPLIB_10049.lp,min,0.0,0.0,tie,0,0,10.734867,10.872846
10,QPLIB_10050.lp,min,-25.697662,-25.697662,tie,0,0,10.857222,10.856921
10,QPLIB_10051.lp,min,0.0,0.0,tie,0,0,10.451359,10.671734
10,QPLIB_10052.lp,min,-11.810576,-11.810576,tie,0,0,10.158989,11.262404
10,QPLIB_10053.lp,min,0.0,0.0,tie,0,0,10.480197,10.462467
10,QPLIB_10054.lp,min,-10.197064,-10.197064,tie,0,0,10.774617,10.613639
10,QPLIB_10055.lp,min,-1.258548,-1.258548,tie,0,0,11.338834,11.365846
10,QPLIB_10056.lp,min,-33.856789,-33.856789,tie,0,0,11.678089,11.759648
10,QPLIB_10057.lp,min,0.0,0.0,tie,0,0,10.859747,10.792288
10,QPLIB_10058.lp,min,-3.379774,-3.379774,tie,0,0,10.659935,10.669177
10,QPLIB_10059.lp,min,0.0,0.0,tie,0,0,10.822233,10.555434
10,QPLIB_10060.lp,min,0.0,0.0,tie,0,0,10.633931,11.150904
10,QPLIB_10061.lp,min,-22.99021,-22.99021,tie,0,0,10.757603,10.832754
10,QPLIB_10062.lp,min,0.0,0.0,tie,0,0,10.679494,10.742376
10,QPLIB_10063.lp,min,-42.515972,-42.515972,tie,0,0,12.296966,12.116984
10,QPLIB_10064.lp,min,0.0,0.0,tie,0,0,10.266603,10.229856
10,QPLIB_10065.lp,min,-29.822421,-29.822421,tie,0,0,11.245699,11.488969
10,QPLIB_10066.lp,min,-32.979886,-32.979886,tie,0,0,11.497305,11.684058
10,QPLIB_10067.lp,min,-31.568701,-31.568701,tie,0,0,11.752789,11.6736
10,QPLIB_10068.lp,min,-31.624223,-31.624223,tie,0,0,11.802636,11.730474
10,QPLIB_10069.lp,min,0.0,0.0,tie,0,0,11.463422,11.735747
10,QPLIB_10070.lp,min,-25.258817,-25.258817,tie,0,0,11.093785,11.13797
10,QPLIB_10071.lp,min,0.0,0.0,tie,0,0,10.539028,10.751817
10,QPLIB_10072.lp,min,0.0,0.0,tie,0,0,10.06988,10.116458
10,QPLIB_10073.lp,min,0.0,0.0,tie,0,0,10.045763,10.070666
10,QPLIB_10074.lp,min,0.0,0.0,tie,0,0,10.164071,10.096699
10,QPLIB_1976.lp,min,-9594.0,-9594.0,tie,0,0,10.083525,10.095456
10,QPLIB_2017.lp,min,-22984.0,-22984.0,tie,0,0,10.148231,10.054193
10,QPLIB_2022.lp,min,-22554.0,-22554.0,tie,0,0,10.136903,10.173756
10,QPLIB_2029.lp,min,-33904.0,-34576.0,new loss,0,0,10.104601,10.080877
10,QPLIB_2036.lp,min,-30140.0,-30140.0,tie,0,0,10.117743,10.077753
10,QPLIB_2047.lp,min,1182604.5,1182604.5,tie,0,0,10.943733,10.510889
10,QPLIB_2055.lp,min,3412950.0,3412950.0,tie,0,0,10.126,10.45912
10,QPLIB_2060.lp,min,2621928.0,2621928.0,tie,0,0,11.109753,10.333903
10,QPLIB_2067.lp,min,3740230.0,3793380.0,new win,0,0,10.610792,11.125319
10,QPLIB_2073.lp,min,7957180.0,7957180.0,tie,0,0,10.417891,11.120777
10,QPLIB_2077.lp,min,2443612.5,2443612.5,tie,0,0,11.223154,10.738755
10,QPLIB_2085.lp,min,7483750.0,7483750.0,tie,0,0,11.206168,10.896964
10,QPLIB_2087.lp,min,3312579.0,3312579.0,tie,0,0,12.050854,11.754998
10,QPLIB_2096.lp,min,7432224.0,7432224.0,tie,0,0,11.685281,12.604348
10,QPLIB_2315.lp,min,-26758.0,-26675.0,new win,0,0,11.778162,11.995328
10,QPLIB_2357.lp,min,-647.0,-647.0,tie,0,0,10.115912,10.187937
10,QPLIB_2359.lp,min,-638.0,-638.0,tie,0,0,10.054054,10.118847
10,QPLIB_2492.lp,min,2766.0,2766.0,tie,0,0,10.364759,10.731168
10,QPLIB_2512.lp,min,135028.0,135028.0,tie,0,0,10.198678,10.170347
10,QPLIB_2733.lp,min,5510.0,5510.0,tie,0,0,12.732046,10.896433
10,QPLIB_2880.lp,min,1317494.0,1317494.0,tie,0,0,10.785814,10.852489
10,QPLIB_2957.lp,min,3666.0,3666.0,tie,0,0,12.873535,12.279995
10,QPLIB_3307.lp,min,1282.0,1282.0,tie,0,0,10.491321,10.259598
10,QPLIB_3347.lp,min,4017827.0,4017827.0,tie,0,0,15.228151,14.727856
10,QPLIB_3361.lp,min,117340.0,117340.0,tie,0,0,11.148228,15.115757
10,QPLIB_3380.lp,min,,,neither feasible,0,0,11.245931,11.115645
10,QPLIB_3402.lp,min,229092.0,229092.0,tie,0,0,10.257469,10.045247
10,QPLIB_3413.lp,min,2522.0,2522.0,tie,0,0,10.163325,10.332561
10,QPLIB_3506.lp,max,478.0,476.0,new win,0,0,10.119002,10.019303
10,QPLIB_3562.lp,min,16.0,16.0,tie,0,0,10.019575,10.01748
10,QPLIB_3565.lp,max,282.0,282.0,tie,0,0,10.041248,10.090705
10,QPLIB_3584.lp,min,-22989.0,-22989.0,tie,0,0,10.974692,10.664492
10,QPLIB_3587.lp,min,16811.0,16811.0,tie,0,0,10.273077,10.255965
10,QPLIB_3614.lp,min,15062.0,15062.0,tie,0,0,10.044003,10.109139
10,QPLIB_3642.lp,max,1028.0,1028.0,tie,0,0,10.135765,10.250804
10,QPLIB_3650.lp,max,916.0,914.0,new win,0,0,10.176887,10.225427
10,QPLIB_3693.lp,max,1144.0,1144.0,tie,0,0,10.056462,10.179075
10,QPLIB_3703.lp,min,395228.0,395228.0,tie,0,0,10.094965,10.116019
10,QPLIB_3705.lp,max,382.0,382.0,tie,0,0,10.041563,10.050428
10,QPLIB_3706.lp,max,680.0,680.0,tie,0,0,10.126888,10.107925
10,QPLIB_3709.lp,min,9113892.0,9113892.0,tie,0,0,10.96137,10.784322
10,QPLIB_3714.lp,min,1183.0,1183.0,tie,0,0,10.158298,10.180179
10,QPLIB_3738.lp,max,420.0,420.0,tie,0,0,10.034724,10.128694
10,QPLIB_3745.lp,max,334.0,334.0,tie,0,0,10.042386,10.070145
10,QPLIB_3750.lp,min,6348.0,6348.0,tie,0,0,10.389319,10.386329
10,QPLIB_3751.lp,min,2312.0,2312.0,tie,0,0,10.090579,10.038244
10,QPLIB_3752.lp,min,-1217.0,-1217.0,tie,0,0,10.148806,10.116036
10,QPLIB_3757.lp,min,-511.0,-511.0,tie,0,0,10.148675,10.156687
10,QPLIB_3762.lp,min,-270.0,-270.0,tie,0,0,10.063517,10.059965
10,QPLIB_3772.lp,min,-938.0,-938.0,tie,0,0,10.106121,10.16506
10,QPLIB_3775.lp,min,3990.0,3990.0,tie,0,0,10.33168,10.327564
10,QPLIB_3780.lp,min,106.0,106.0,tie,0,0,10.047741,10.051273
10,QPLIB_3803.lp,min,-6982.0,-6982.0,tie,0,0,10.043646,10.116213
10,QPLIB_3815.lp,min,-65.0,-65.0,tie,0,0,10.035614,10.013122
10,QPLIB_3822.lp,max,846.0,846.0,tie,0,0,10.143427,10.189649
10,QPLIB_3832.lp,max,550.0,550.0,tie,0,0,10.117239,10.118079
10,QPLIB_3834.lp,min,3854.936186,3854.936186,tie,0,0,10.053366,10.033131
10,QPLIB_3838.lp,max,740.0,740.0,tie,0,0,10.126483,10.227938
10,QPLIB_3841.lp,min,-1817.0,-1817.0,tie,0,0,10.477043,10.142334
