instance,cutoff,tabu,seed,baseline_feasible,block_feasible,baseline_obj,block_obj,outcome,relative_gap
chimera_mgw-c8-439-onc8-002.lp,10,0,10,1,1,396.0,396.0,tie,0.0
chimera_mgw-c8-507-onc8-02.lp,10,1,10,1,1,492.0,492.0,tie,0.0
chimera_rfr-01.lp,10,0,10,1,1,1163.0,1164.8,win,0.0015477214101461347
ball_mk4_15.lp,10,0,8,0,1,,-2728.0,win,0
chimera_rfr-02.lp,10,1,11,1,1,1120.6,1120.6,tie,0.0
ball_mk4_10.lp,10,0,8,0,1,,-1615.0,win,0
graphpart_2g-0044-1601.lp,10,1,8,1,1,-919798.0,-919798.0,tie,0.0
chimera_mis-01.lp,10,1,9,1,1,381.2,381.2,tie,0.0
chimera_selby-c8-onc8-01.lp,10,1,10,1,1,176.8,176.8,tie,0.0
ball_mk4_05.lp,10,1,9,0,1,,-19.0,win,0
chimera_lga-01.lp,10,1,8,1,1,131.1,131.1,tie,0.0
ball_mk3_20.lp,10,0,10,0,1,,-5.0,win,0
chimera_mgw-c16-2031-01.lp,10,0,9,1,1,1945.0,1945.0,tie,0.0
ball_mk3_10.lp,10,0,8,0,1,,-9.0,win,0
ball_mk3_10.lp,10,1,8,0,1,,-9.0,win,0
graphpart_2g-0055-0062.lp,10,1,8,1,1,-1116960.0,-1116960.0,tie,0.0
chimera_mis-02.lp,10,0,8,1,1,390.8,390.8,tie,0.0
chimera_lga-02.lp,10,1,12,1,1,120.9,120.9,tie,0.0
ball_mk4_05.lp,10,0,10,0,1,,-19.0,win,0
ball_mk3_30.lp,10,0,12,0,1,,-3.0,win,0
chimera_mgw-c16-2031-02.lp,10,0,9,1,1,1955.0,1955.0,tie,0.0
ball_mk3_20.lp,10,0,12,0,1,,-7.0,win,0
chimera_mis-02.lp,10,1,12,1,1,392.8,392.8,tie,0.0
chimera_selby-c8-onc8-01.lp,10,1,8,1,1,175.9,175.9,tie,0.0
chimera_mgw-c8-439-onc8-002.lp,10,1,9,1,1,395.0,395.0,tie,0.0
chimera_rfr-01.lp,10,1,10,1,1,1163.0,1163.0,tie,0.0
ball_mk3_20.lp,10,1,9,0,1,,-7.0,win,0
ball_mk4_10.lp,10,1,8,0,1,,-31.0,win,0
chimera_k64maxcut-02.lp,10,1,11,1,1,16.7,16.7,tie,0.0
chimera_mis-01.lp,10,0,8,1,1,381.4,381.4,tie,0.0
ball_mk3_10.lp,10,1,12,0,1,,-8.0,win,0
ball_mk4_15.lp,10,1,9,0,1,,-2827.0,win,0
chimera_lga-01.lp,10,1,12,1,1,128.2,128.2,tie,0.0
graphpart_2g-0044-1601.lp,10,1,12,1,1,-919798.0,-919798.0,tie,0.0
chimera_lga-02.lp,10,0,12,1,1,120.9,120.9,tie,0.0
crossdock_15x8.lp,10,1,10,1,1,16960.0,16960.0,tie,0.0
chimera_rfr-01.lp,10,1,12,1,1,1162.3,1162.3,tie,0.0
chimera_selby-c8-onc8-01.lp,10,0,8,1,1,175.9,175.9,tie,0.0
chimera_selby-c8-onc8-01.lp,10,0,11,1,1,175.4,175.4,tie,0.0
chimera_mgw-c8-439-onc8-002.lp,10,0,12,1,1,392.0,392.0,tie,0.0
chimera_mgw-c8-507-onc8-01.lp,10,1,11,1,1,493.0,493.0,tie,0.0
crossdock_15x8.lp,10,1,9,1,1,17685.0,17685.0,tie,0.0
ball_mk4_10.lp,10,1,9,0,1,,-31.0,win,0
chimera_lga-02.lp,10,1,9,1,1,121.5,121.5,tie,0.0
ball_mk3_30.lp,10,0,8,0,1,,-3.0,win,0
